,,,CATEGORYWISE MERIT LIST : B14 - BTECH,,,,,,
RANK,JMI REG NO,JEEROLL,JEEMARKS,JEERANK,PREF1,PREF2,PREF3,PREF4,PREF5
61,JMI0032587,19206359,232,3759,Computer,Mechanical,Electronics,Electrical,Civil
62,JMI0025446,11642287,232,3761,Computer,Mechanical,Civil,Electrical,Electronics
63,JMI0006347,11630498,231,3830,Computer,Mechanical,Electrical,Electronics,Civil
64,JMI0008858,11602043,231,3836,Computer,Electronics,Electrical,Mechanical,Civil
65,JMI0019848,11625764,231,3877,Computer,Electronics,Mechanical,Electrical,Civil
66,JMI0001050,51200364,230,3973,Computer,Electronics,Mechanical,Electrical,Civil
67,JMI0000441,11625438,229,4099,Computer,Electronics,Electrical,Mechanical,Civil
68,JMI0069454,14404211,229,4101,Mechanical,Computer,Civil,Electrical,Electronics
69,JMI0002529,11635667,227,4263,Computer,Electronics,Electrical,Mechanical,Civil
70,JMI0009043,12802832,227,4292,Computer,Electrical,Electronics,Mechanical,Civil
71,JMI0043728,11628454,227,4297,Computer,Electronics,Electrical,Mechanical,Civil
72,JMI0015399,11637134,226,4364,Computer,Electronics,Mechanical,Electrical,Civil
73,JMI0006223,12802134,226,4429,Computer,Electronics,Electrical,Civil,Mechanical
,,,CATEGORYWISE MERIT LIST : B14 - BTECH,,,,,,
RANK,JMI REG NO,JEEROLL,JEEMARKS,JEERANK,PREF1,PREF2,PREF3,PREF4,PREF5
74,JMI0043868,11628928,225,4502,Computer,Electronics,Electrical,Mechanical,Civil
75,JMI0015360,12802724,225,4542,Computer,Electronics,Electrical,Mechanical,Civil
76,JMI0016518,57702010,225,4550,Computer,Electronics,Civil,Electrical,Mechanical
77,JMI0002073,12801032,224,4617,Computer,Electronics,Mechanical,Electrical,Civil
78,JMI0013080,11604418,224,4653,Mechanical,Electronics,Electrical,Computer,Civil
79,JMI0010248,51607590,224,4703,Computer,Electrical,Electronics,Mechanical,Civil
80,JMI0011035,19401861,223,4790,Computer,Electronics,Civil,Mechanical,Electrical
81,JMI0020367,11649021,223,4853,Computer,Mechanical,Electronics,Electrical,Civil
82,JMI0000928,11618988,223,4864,Computer,Electronics,Electrical,Mechanical,Civil
83,JMI0066069,11641310,222,4902,Computer,Electronics,Electrical,Mechanical,Civil
84,JMI0025484,11634481,222,4971,Computer,Electronics,Electrical,Mechanical,Civil
85,JMI0001931,11605118,221,5056,Computer,Mechanical,Electronics,Civil,Electrical
86,JMI0008347,11601233,221,5077,Computer,Electronics,Electrical,Mechanical,Civil
87,JMI0001927,12802242,221,5084,Mechanical,Electrical,Electronics,Computer,Civil
88,JMI0039980,19805706,221,5090,Computer,Electronics,Electrical,Mechanical,Civil
89,JMI0010242,51605070,221,5109,Computer,Mechanical,Civil,Electrical,Electronics
90,JMI0094692,21200894,220,5273,Computer,Electronics,Electrical,Mechanical,Civil
91,JMI0017938,14004768,220,5284,Computer,Mechanical,Civil,Electronics,Electrical
92,JMI0022356,11002225,219,5313,Civil,Electrical,Computer,Mechanical,Electronics
93,JMI0028982,51608325,219,5326,Mechanical,Computer,Electronics,Electrical,Civil
94,JMI0019881,19810007,219,5344,Civil,Computer,Electrical,Electronics,Mechanical
95,JMI0071764,18445222,219,5380,Computer,Electronics,Electrical,Mechanical,Civil
96,JMI0011834,12804058,218,5526,Computer,Electronics,Mechanical,Electrical,Civil
97,JMI0012911,11648778,216,5756,Computer,Electronics,Electrical,Mechanical,Civil
98,JMI0008754,12804260,216,5786,Computer,Electrical,Electronics,Mechanical,Civil
,,,CATEGORYWISE MERIT LIST : B14 - BTECH,,,,,,
RANK,JMI REG NO,JEEROLL,JEEMARKS,JEERANK,PREF1,PREF2,PREF3,PREF4,PREF5
99,JMI0015813,19402481,216,5834,Computer,Electronics,Electrical,Mechanical,Civil
100,JMI0006771,51605697,215,5864,Computer,Electronics,Electrical,Mechanical,Civil
101,JMI0039411,18422332,215,5930,Computer,Electronics,Electrical,Mechanical,Civil
102,JMI0122130,19202772,214,6052,Computer,Electronics,Electrical,Mechanical,Civil
103,JMI0002054,15004853,214,6058,Computer,Mechanical,Civil,Electronics,Electrical
104,JMI0031614,11620757,213,6174,Computer,Electrical,Mechanical,Electronics,Civil
105,JMI0014526,11614170,213,6203,Computer,Electrical,Mechanical,Electronics,Civil
106,JMI0029899,19402919,212,6356,Electrical,Computer,Electronics,Mechanical,Civil
107,JMI0000266,11609766,212,6362,Computer,Electrical,Mechanical,Electronics,Civil
108,JMI0071746,11800869,212,6423,Computer,Electronics,Electrical,Mechanical,Civil
